Group,PGPEX-elective (10 Sessions),Course Instructors,Term,,,,,,
,,,,,,,,,
,,,,,,,,,
Finance,Management Control Systems,Prof. Purusottam Sen,5,,,,,,
,Derivatives,Prof. B. B. Chakrabarti,5,,,,,,
,Investment Management,Prof. Vivek Rajvanshi,5,,,,,,
,Bank Management,Prof. Praloy Majumdar (PTVF),5,,,,,,
,Money and Banking,PTVF,6,,,,,,
,Entrepreneurial Finance,Prof Ashok Banerjee,6,,,,,,
,International Finance,PTVF,6,,,,,,
,Financial Statement Analysis,Prof. Sudhir Jaiswall,6,,,,,,
,,,,,,,,,
Marketing,,,,,,,,,
,Strategic Brand Management,VF {Prof. Prashant Mishra (CC)},4,,,,,,
,Sales and Distribution Marketing,VF {Prof. Ramendra Singh(CC)},5,,,,,,
,Consumer Behavior,Prof. Krishanu Rakshit,5,,,,,, 
,International Marketing ,Prof. Prafulla Agnihotri ,4,,,,,,
,Marketing Research,Prof. Suren Sista,4,,,,,,
,B2B Marketing,Prof. Koushiki Choudhury,5,,,,,,
,Product Management ,VF {Prof Prashant Mishra ( CC)},6,,,,,,
,Marketing to the bottom line of the Pyramid,Ramendra Singh,5,,,,,,
,Digital Marketing ,VF {Prof Krishanu Rakshit ( CC)},6,,,,,,
,,,,,,,,,
,,,,,,,,,
OM,Business Forecasting,Prof Sahadeb Sarkar,4,,,,,,
,Revenue Management and Dynamic Pricing,Profs. Preetam Basu and Sumanta Basu,5,,,,,,
,Performance Evaluation using DEA,Prof. Sanjeet Singh,5,,,,,,
,,,,,,,,,
Economics,International Economics,Prof Parthapratim Pal,4,,,,,,
,Games and Strategic Behavior,Prof. Anindya Sen,5,,,,,,
,Management of the  Exchange Rate  and Capital Flows,Prof. Soumyen Sikdar,6,,,,,,
,The Modern Firm,Prof. Arijit Sen,6,,,,,,
,,,,,,,,,
,,,,,,,,,
Strategy,Strategy-as-practice: The social and political in strategy work,Prof. Biswatosh Saha,5,,,,,,
,Strategic Leadership,Prof. Anirvan Pant,6,,,,,,
,,,,,,,,,
,,,,,,,,,
MIS,Management Information Systems: The Strategic Dimension ,Prof. Sanjiv D. Vaidya,4,,,,,,
,Strategic Management of IT,Prof. Sanjiv D. Vaidya,5,,,,,,
,Business Data Mining,Prof. Uttam K Sarkar,5,,,,,,
,Information Technology and Organizational Innovation,Prof. Sanjiv D. Vaidya,6,,,,,,
,,,,,,,,,
OB,Leading People,Prof. Chetan Joshi,6,,,,,,
,Building Leadership Potential,Profs. Leena Chatterjee and Abhishek Goel,5,,,,,,
,Conflicts and Negotiation,Prof. B N Srivastava,6,,,,,,
,,,,,,,,,
PPM ,Assessing Business Environment (tentative),Prof V.K.Unni ( CC)Prof. Raghabendra Chattopadhyay ,6,,,,,,
,Environmental Governance,Prof. Bhaskar Chakrabarti / Prof. Rajesh Bhattacharya,5,,,,,,
,Managing International Legal Environment (tentative),Prof. R. Rajesh Babu,4,,,,,,
,,,,,,,,,
BE&C,Problem Solving Techniques in Corporate Communications,Prof.  Pragyan Rath  ,5,,,,,,
